Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 15, 1, 0.42883548, 0.53579676, 0.476386, 0.5286505, 0.5274818, 0.6584726, 0.6131182, 57.64706, -0.005588498, 0.8645833, 0.4725305, 0.27259713, 0.16645896, 0.10863053, 0.07606232, -0.29336062, -0.42468724, 57, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 15, 2, 0.47121534, 0.5103926, 0.49002218, 0.59026295, 0.4789903, 0.5414659, 0.5775647, 60.000004, -0.0020583884, 0.8020833, 0.4597918, 0.251277, 0.14006665, 0.07970792, 0.046332415, -0.27788016, -0.40502906, 29, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 20, 1, 0.38568935, 0.5103926, 0.43936384, 0.4953461, 0.4379267, 0.6240964, 0.5400591, 49.411762, 0.001472172, 0.8333333, 0.45313266, 0.28524455, 0.19805661, 0.1508459, 0.123732425, -0.26939917, -0.49164653, 41, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 20, 2, 0.3116883, 0.55427253, 0.3990025, 0.41623393, 0.43990752, 0.6855917, 0.5259287, 50.588238, -0.004173, 0.8125, 0.4219717, 0.27196953, 0.19250517, 0.14852826, 0.1227268, -0.23556975, -0.5528879, 33, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 25, 1, 0.42487046, 0.5681293, 0.486166, 0.54432935, 0.3952866, 0.6930655, 0.49643373, 54.117645, -0.002401659, 0.8854167, 0.414417, 0.26397496, 0.18611991, 0.14397179, 0.11966588, -0.27506334, -0.5372974, 33, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 25, 2, 0.3631579, 0.47806004, 0.41276172, 0.47953224, 0.45077518, 0.74044317, 0.5217224, 49.411762, -0.011515821, 0.875, 0.3899444, 0.22793572, 0.14577806, 0.103211954, 0.08045398, -0.271983, -0.50040644, 41, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 30, 1, 0.42992425, 0.52424943, 0.47242457, 0.52935594, 0.4427673, 0.7699491, 0.52042675, 56.470585, 0.0013024845, 0.9375, 0.39570364, 0.23093644, 0.14379445, 0.09631419, 0.06940284, -0.30132058, -0.51623243, 48, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 30, 2, 0.30851063, 0.53579676, 0.39156115, 0.37788123, 0.5086404, 0.78476, 0.589569, 54.117645, -1.915646E-4, 0.9166667, 0.39324388, 0.22849886, 0.1419728, 0.09509772, 0.06863753, -0.24484998, -0.51314783, 48, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 35, 1, 0.44880176, 0.47575057, 0.46188343, 0.5486566, 0.42840138, 0.6730103, 0.5228458, 55.29412, -9.233454E-4, 0.9479167, 0.43314108, 0.250666, 0.15424575, 0.10187702, 0.0723766, -0.31161022, -0.4667339, 63, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 35, 2, 0.4946695, 0.53579676, 0.51441234, 0.5760483, 0.5740712, 0.7182058, 0.63781613, 61.176468, -0.0018151947, 0.8958333, 0.46750826, 0.2672118, 0.16221008, 0.10570664, 0.074214414, -0.3106956, -0.41221687, 56, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 40, 1, 0.43644068, 0.47575057, 0.4552486, 0.53866535, 0.48919296, 0.74129915, 0.5894442, 52.941177, -9.541563E-4, 0.8958333, 0.4720309, 0.27227888, 0.16643347, 0.10881632, 0.076350704, -0.31144282, -0.4202118, 52, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 40, 2, 0.4688172, 0.5034642, 0.4855234, 0.5480287, 0.4721139, 0.62806976, 0.5452892, 57.64706, 4.0890308E-4, 0.7916667, 0.46538672, 0.2656323, 0.16142872, 0.10545552, 0.07422856, -0.30770972, -0.40721706, 65, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 45, 1, 0.40267175, 0.48729792, 0.44096133, 0.49173027, 0.49780664, 0.66131496, 0.6076383, 54.117645, 9.994195E-4, 0.84375, 0.49772865, 0.2801451, 0.16766405, 0.10785921, 0.07491248, -0.30649966, -0.35344493, 57, 
